date,company_id,revenue,expense,cash,orders,visits
2026-01-01,001,100,62,1000,18,92
2026-01-02,001,101,63,1007,19,93
2026-01-03,001,102,64,1014,20,94
2026-01-04,001,103,65,1021,21,95
2026-01-05,001,104,66,1028,22,96
2026-01-06,001,105,67,1035,23,97
2026-01-07,001,106,68,1042,24,98
2026-01-08,001,107,69,1049,25,99
2026-01-09,001,108,70,1056,18,100
2026-01-10,001,109,62,1063,19,101
2026-01-11,001,110,63,1070,20,102
2026-01-12,001,111,64,1077,21,103
2026-01-13,001,112,65,1084,22,104
2026-01-14,001,113,66,1091,23,105
2026-01-15,001,114,67,1098,24,106
2026-01-16,001,115,68,1105,25,107
2026-01-17,001,116,69,1112,18,108
2026-01-18,001,100,70,1119,19,109
2026-01-19,001,101,62,1126,20,110
2026-01-20,001,102,63,1133,21,111
2026-01-21,001,103,64,1140,22,112
2026-01-22,001,104,65,1147,23,92
2026-01-23,001,105,66,1154,24,93
2026-01-24,001,106,67,1161,25,94
2026-01-25,001,107,68,1168,18,95
2026-01-26,001,108,69,1175,19,96
2026-01-27,001,109,70,1182,20,97
2026-01-28,001,110,62,1189,21,98
2026-01-29,001,111,63,1196,22,99
2026-01-30,001,112,64,1203,23,100
2026-01-31,001,113,65,1210,24,101
2026-02-01,001,114,66,1217,25,102
2026-02-02,001,115,67,1224,18,103
2026-02-03,001,116,68,1231,19,104
2026-02-04,001,100,69,1238,20,105
2026-02-05,001,101,70,1245,21,106
2026-02-06,001,102,62,1252,22,107
2026-02-07,001,103,63,1259,23,108
2026-02-08,001,104,64,1266,24,109
2026-02-09,001,105,65,1273,25,110
2026-02-10,001,106,66,1280,18,111
2026-02-11,001,107,67,1287,19,112
2026-02-12,001,108,68,1294,20,92
2026-02-13,001,109,69,1301,21,93
2026-02-14,001,110,70,1308,22,94
2026-02-15,001,111,62,1315,23,95
2026-02-16,001,112,63,1322,24,96
2026-02-17,001,113,64,1329,25,97
2026-02-18,001,114,65,1336,18,98
2026-02-19,001,115,66,1343,19,99
2026-02-20,001,116,67,1350,20,100
2026-02-21,001,100,68,1357,21,101
2026-02-22,001,101,69,1364,22,102
2026-02-23,001,102,70,1371,23,103
2026-02-24,001,103,62,1378,24,104
2026-02-25,001,104,63,1385,25,105
2026-02-26,001,105,64,1392,18,106
2026-02-27,001,106,65,1399,19,107
2026-02-28,001,107,66,1406,20,108
2026-03-01,001,108,67,1413,21,109
2026-03-02,001,109,68,1420,22,110
2026-03-03,001,110,69,1427,23,111
2026-03-04,001,111,70,1434,24,112
2026-03-05,001,112,62,1441,25,92
2026-03-06,001,113,63,1448,18,93
2026-03-07,001,114,64,1455,19,94
2026-03-08,001,115,65,1462,20,95
2026-03-09,001,116,66,1469,21,96
2026-03-10,001,100,67,1476,22,97
2026-03-11,001,101,68,1483,23,98
2026-03-12,001,102,69,1490,24,99
2026-03-13,001,103,70,1497,25,100
2026-03-14,001,104,62,1504,18,101
2026-03-15,001,105,63,1511,19,102
2026-03-16,001,106,64,1518,20,103
2026-03-17,001,107,65,1525,21,104
2026-03-18,001,108,66,1532,22,105
2026-03-19,001,109,67,1539,23,106
2026-03-20,001,110,68,1546,24,107
2026-03-21,001,111,69,1553,25,108
2026-03-22,001,112,70,1560,18,109
2026-03-23,001,113,62,1567,19,110
2026-03-24,001,114,63,1574,20,111
2026-03-25,001,115,64,1581,21,112
2026-03-26,001,116,65,1588,22,92
2026-03-27,001,100,66,1595,23,93
2026-03-28,001,101,67,1602,24,94
2026-03-29,001,102,68,1609,25,95
2026-03-30,001,103,69,1616,18,96
2026-03-31,001,104,70,1623,19,97
